Date,AverageSalary
1968,727.48
1970,839.41
1971,930.41
1972,1041.43
1973,1181.70
1974,1360.06
1975,1796.47
1976,2165.41
1977,2380.69
1978,2666.04
1979,3019.12
1980,3714.36
1981,4262.44
1982,4654.39
1983,5064.67
1984,5816.46
1985,6227.26
1986,6708.50
1987,7201.50
1988,7886.60
1989,8654.40
1990,9491.60
1991,10280.40
1992,11004.20
1993,11421.00
1994,11746.30
1995,12108.50
1996,12656.80
1997,13403.50
1998,14063.40
1999,14593.50
2000,15141.60
2001,15989.00
2002,16688.40
2003,17291.30
2004,17813.90
2005,18430.10
2006,19043.20
2007,19652.60
2008,20523.60
2009,20992.40
2010,21370.20
2011,21474.20
2012,21689.20
2013,22094.50
2014,22230.00
2015,22530.30
2016,23118.90
2017,23707.10
2018,24482.60
2019,25208.00
2020,25440.20
2021,26051.70
2022,27298.40
2023,29001.20
